Device Type	Instrument Type	Fixture ID	Fixture Mode	GDTF Fixture	GDTF Fixture Mode	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	User Address	Universe	User U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Voltage	Breaker ID	Time	Cost	DMX Footprint	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw beam	Draw beam as 3D solid	Use vertical beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	3D Legend View	Flip top and bottom 3D legend	Flip left and right 3D legend	Rotate 3D legend with Z rotation	Flip front and back 2D legend	Flip left and right 2D legend	Focus	Set 3D Orientation	X Rotation	Y Rotation	Custom plan rotation	Z Rotation	Vertical Focus Angle	Horizontal Focus Angle	Angle To Face	Off Axis Angle	Throw Distance	X Location	Y Location	Z Location	__UID	Edit...	Edit Accessories	Edit Cell	Edit Accessory	Edit GDTF Data...	Absolute Address	Universe/Address	DMX Address	Replace Lighting Device…	Refresh Labels	Use GDTF Geometry	Pan	Tilt	Plan Rotation
Light	Clay Paky Stormy CC	Clay Paky Stormy CC	-	-	-	850	-	-	-	-	-	78	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	15	-	42.00°	130.00°	42.00°	130.00°	15.13 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr Clay Paky Stormy CC	S4 Par	None	False	False	False	False	False	CS	False	-90	0	False	-90.47220727	27.22°	62.78°	62.78°	10.50°	28'6.405"	26'0"	38'.451"	17'6"	1608.1.1.0.1	0	0	-1	-2	0	0	0/0	0	0	0	False	-10.50°	27.22°	0.00°
Light	Clay Paky Stormy CC	Clay Paky Stormy CC	-	-	-	850	-	-	-	-	-	77	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	15	-	42.00°	130.00°	42.00°	130.00°	15.13 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr Clay Paky Stormy CC	S4 Par	None	False	False	False	False	False	CS	False	0	0	False	0	65.72°	24.28°	24.28°	94.66°	29'2.191"	-26'0"	38'.451"	17'6"	1611.1.1.0.1	0	0	-1	-2	0	0	0/0	0	0	0	False	-94.66°	65.72°	0.00°
Light	Clay Paky Stormy CC	Clay Paky Stormy CC	-	-	-	850	-	-	-	-	-	75	-	2	-	-	-	A	-	-	-	-	-	-	0	-	0	0	15	-	42.00°	130.00°	42.00°	130.00°	15.13 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr Clay Paky Stormy CC	S4 Par	None	False	False	False	False	False	-	False	0	0	False	0	30.00°	60.00°	60.00°	0.00°	19'9.108"	-4'3.342"	24'3.229"	20'.38"	1614.1.1.0.1	0	0	-1	-2	0	662	2/150	150	0	0	False	0.00°	30.00°	0.00°
Light	Clay Paky Stormy CC	Clay Paky Stormy CC	-	-	-	850	-	-	-	-	-	76	-	2	-	-	-	A	-	-	-	-	-	-	0	-	0	0	15	-	42.00°	130.00°	42.00°	130.00°	15.13 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr Clay Paky Stormy CC	S4 Par	None	False	False	False	False	False	-	False	0	0	False	0	30.00°	60.00°	60.00°	0.00°	19'8.399"	5'8.658"	24'3.229"	20'.38"	1618.1.1.0.1	0	0	-1	-2	0	677	2/165	165	0	0	False	0.00°	30.00°	0.00°
Moving Light	Robe Robin Esprite	Robe Robin Esprite	Robe Robin Esprite m1.lit	-	-	950 W	-	2nd Pipe	-	-	-	25	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	49	-	49.00°	49.00°	5.50°	5.50°	59.30 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr Robe Robin Esprite	S4 Par	None	False	False	False	False	False	-	False	0	0	False	0	0.00°	0.00°	0.00°	0.00°	0"	-8'5.669"	41'10.374"	20'8.812"	1624.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	0.00°	180.00°
Moving Light	Robe Robin Esprite	Robe Robin Esprite	Robe Robin Esprite m1.lit	-	-	950 W	-	2nd Pipe	-	-	-	26	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	49	-	49.00°	49.00°	5.50°	5.50°	59.30 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr Robe Robin Esprite	S4 Par	None	False	False	False	False	False	-	False	0	0	False	0	0.00°	0.00°	0.00°	0.00°	0"	8'8.145"	41'10.562"	20'8.812"	1625.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	0.00°	180.00°
Light	ChromaQ Colorforce II 48	ChromaQ Colorforce II 48	-	-	-	533 W	-	-	-	-	-	101	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	71	-	22.00°	22.00°	22.00°	22.00°	40.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ChromaQ Colorforce II 48	S4 Par	None	False	False	False	False	False	-	False	180	0	False	19	0.00°	0.00°	0.00°	0.00°	0"	-13'3.24"	49'6"	2'8"	1584.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	-20.00°	0.00°
Light	ChromaQ Colorforce II 48	ChromaQ Colorforce II 48	-	-	-	533 W	-	-	-	-	-	102	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	71	-	22.00°	22.00°	22.00°	22.00°	40.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ChromaQ Colorforce II 48	S4 Par	None	False	False	False	False	False	-	False	180	0	False	10	0.00°	0.00°	0.00°	0.00°	0"	-6'4.191"	51'2"	2'8"	1586.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	-20.00°	0.00°
Light	ChromaQ Colorforce II 48	ChromaQ Colorforce II 48	-	-	-	533 W	-	-	-	-	-	103	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	71	-	22.00°	22.00°	22.00°	22.00°	40.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ChromaQ Colorforce II 48	S4 Par	None	False	False	False	False	False	-	False	180	0	False	3	0.00°	0.00°	0.00°	0.00°	0"	-1'10.191"	51'7"	2'8"	1588.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	-20.00°	0.00°
Light	ChromaQ Colorforce II 48	ChromaQ Colorforce II 48	-	-	-	533 W	-	-	-	-	-	104	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	71	-	22.00°	22.00°	22.00°	22.00°	40.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ChromaQ Colorforce II 48	S4 Par	None	False	False	False	False	False	-	False	180	0	False	-3	0.00°	0.00°	0.00°	0.00°	0"	2'7.809"	51'7"	2'8"	1590.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	-20.00°	0.00°
Light	ChromaQ Colorforce II 48	ChromaQ Colorforce II 48	-	-	-	533 W	-	-	-	-	-	105	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	71	-	22.00°	22.00°	22.00°	22.00°	40.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ChromaQ Colorforce II 48	S4 Par	None	False	False	False	False	False	-	False	180	0	False	-10	0.00°	0.00°	0.00°	0.00°	0"	7'1.809"	51'2"	2'8"	1592.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	-20.00°	0.00°
Light	ChromaQ Colorforce II 48	ChromaQ Colorforce II 48	-	-	-	533 W	-	-	-	-	-	106	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	71	-	22.00°	22.00°	22.00°	22.00°	40.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ChromaQ Colorforce II 48	S4 Par	None	False	False	False	False	False	-	False	180	0	False	-19	0.00°	0.00°	0.00°	0.00°	0"	13'10.637"	49'6"	2'8"	1594.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	-20.00°	0.00°
Light	ETC Source4 LED2LS 36deg	ETC Source4 LED S2 Lustr 36deg	ETC Source 4 LED S2 Lustr 36 (10ch).lit	-	-	171W	-	-	-	-	-	52	-	2	-	-	-	A	-	-	-	-	-	-	0	-	0	0	10	6.25"	35.00°	35.00°	33.00°	33.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ETC Source 4 LED2LS 36deg	S4 Par	None	False	False	False	False	False	-	True	0	0	False	0	55.02°	34.98°	34.98°	71.55°	24'6.59"	13'3.42"	24'3.229"	20'.38"	1626.1.1.0.0	0	0	-1	-2	0	513	2/1	1	0	0	False	71.55°	55.02°	-90.00°
Light	ETC Source4 LEDLS 36deg	ETC Source4 Lustr 36deg	ETC Source 4 Lustr 36.lit	-	-	117W	-	-	-	-	-	-	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	9	6.25"	35.00°	35.00°	33.00°	33.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ETC Source 4 LEDLS 36deg	S4 Par	None	False	False	False	False	False	-	True	90	0	False	-90	0.00°	0.00°	0.00°	0.00°	0"	109'1.794"	3.348"	24'6"	1576.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	0.00°	-90.00°
Light	ETC Source4 LEDLS 36deg	ETC Source4 Lustr 36deg	ETC Source 4 Lustr 36.lit	-	-	117W	-	-	-	-	-	-	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	9	6.25"	35.00°	35.00°	33.00°	33.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Light Instr ETC Source 4 LEDLS 36deg	S4 Par	None	False	False	False	False	False	-	True	90	0	False	-90	0.00°	0.00°	0.00°	0.00°	0"	109'.044"	-3'8.256"	24'6"	1577.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	0.00°	0.00°	-90.00°
